id,Station,Sequence No,Function,Message,Address,Instruction,WIP No,Status
31,OP40,CONTROL,FUNC,Pumping Part Previous Scan,Sta040.BOOLEANS.CONTROL[31],,,
32,OP40,CONTROL,FUNC,Guard Door Needs to See Transition to Open To Clear Faul ONS 2,Sta040.BOOLEANS.CONTROL[32],,,
33,OP40,CONTROL,FUNC,SPARE,SPARE,,,
34,OP40,CONTROL,FUNC,SPARE,SPARE,,,
35,OP40,CONTROL,FUNC,SPARE,SPARE,,,
36,OP40,CONTROL,FUNC,SPARE,SPARE,,,
37,OP40,CONTROL,FUNC,SPARE,SPARE,,,
38,OP40,CONTROL,FUNC,SPARE,SPARE,,,
39,OP40,CONTROL,FUNC,SPARE,SPARE,,,
40,OP40,CONTROL,FUNC,Screwdriver Calibration Mode Enabled,Sta040.BOOLEANS.CONTROL[40],,,
41,OP40,CONTROL,FUNC,Screw 1 Depth measurement Valid,Sta040.BOOLEANS.CONTROL[41],,,
42,OP40,CONTROL,FUNC,Screw 2 Depth Measurement Valid,Sta040.BOOLEANS.CONTROL[42],,,
43,OP40,CONTROL,FUNC,SPARE,SPARE,,,
44,OP40,CONTROL,FUNC,SPARE,SPARE,,,
45,OP40,CONTROL,FUNC,SPARE,SPARE,,,
46,OP40,CONTROL,FUNC,SPARE,SPARE,,,
47,OP40,CONTROL,FUNC,SPARE,SPARE,,,
48,OP40,CONTROL,FUNC,SPARE,SPARE,,,
49,OP40,CONTROL,FUNC,SPARE,SPARE,,,
50,OP40,CONTROL,FUNC,Reject Drawer Wait for Rejected Component in Drawer,Sta040.BOOLEANS.CONTROL[50],,,
51,OP40,CONTROL,FUNC,Reject Drawer Rejected Component in Drawer complete,Sta040.BOOLEANS.CONTROL[51],,,
52,OP40,CONTROL,FUNC,Reject Drawer Notify Operator and Wait for Acknowledge,Sta040.BOOLEANS.CONTROL[52],,,
53,OP40,CONTROL,FUNC,Reject Drawer Operator Acknowledge Reject present complete,Sta040.BOOLEANS.CONTROL[53],,,
54,OP40,CONTROL,FUNC,Reject Drawer UnLock Reject Drawer,Sta040.BOOLEANS.CONTROL[54],,,
55,OP40,CONTROL,FUNC,Reject Drawer Reject Drawer UnLocked complete,Sta040.BOOLEANS.CONTROL[55],,,
56,OP40,CONTROL,FUNC,Reject Drawer Wait for Operator confirmation that Compenent removed,Sta040.BOOLEANS.CONTROL[56],,,
57,OP40,CONTROL,FUNC,Reject Drawer Operator confirmed that Compenent removed complete,Sta040.BOOLEANS.CONTROL[57],,,
58,OP40,CONTROL,FUNC,Reject Drawer Lock Reject Drawer,Sta040.BOOLEANS.CONTROL[58],,,
59,OP40,CONTROL,FUNC,Reject Drawer Reject Drawer Locked complete,Sta040.BOOLEANS.CONTROL[59],,,
60,OP40,CONTROL,FUNC,SPARE,SPARE,,,
61,OP40,CONTROL,FUNC,SPARE,SPARE,,,
62,OP40,CONTROL,FUNC,SPARE,SPARE,,,
63,OP40,CONTROL,FUNC,Reject Drawer Sequence Complete,Sta040.BOOLEANS.CONTROL[63],,,
64,OP40,CONTROL,FUNC,SPARE,SPARE,,,
65,OP40,CONTROL,FUNC,SPARE,SPARE,,,
66,OP40,CONTROL,FUNC,SPARE,SPARE,,,
